2025-06-12 11:42:34,740 INFO    MainThread:2508328 [wandb_setup.py:_flush():81] Current SDK version is 0.20.1
2025-06-12 11:42:34,741 INFO    MainThread:2508328 [wandb_setup.py:_flush():81] Configure stats pid to 2508328
2025-06-12 11:42:34,741 INFO    MainThread:2508328 [wandb_setup.py:_flush():81] Loading settings from /n/home00/hdiaz/.config/wandb/settings
2025-06-12 11:42:34,741 INFO    MainThread:2508328 [wandb_setup.py:_flush():81] Loading settings from /n/netscratch/dam_lab/Lab/hdiaz/ft_project/wandb/settings
2025-06-12 11:42:34,741 INFO    MainThread:2508328 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-06-12 11:42:34,741 INFO    MainThread:2508328 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /n/netscratch/dam_lab/Lab/hdiaz/ft_project/wandb/run-20250612_114234-3bhqba43/logs/debug.log
2025-06-12 11:42:34,741 INFO    MainThread:2508328 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /n/netscratch/dam_lab/Lab/hdiaz/ft_project/wandb/run-20250612_114234-3bhqba43/logs/debug-internal.log
2025-06-12 11:42:34,741 INFO    MainThread:2508328 [wandb_init.py:init():831] calling init triggers
2025-06-12 11:42:34,741 INFO    MainThread:2508328 [wandb_init.py:init():836] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-06-12 11:42:34,741 INFO    MainThread:2508328 [wandb_init.py:init():872] starting backend
2025-06-12 11:42:35,373 INFO    MainThread:2508328 [wandb_init.py:init():875] sending inform_init request
2025-06-12 11:42:35,388 INFO    MainThread:2508328 [wandb_init.py:init():883] backend started and connected
2025-06-12 11:42:35,390 INFO    MainThread:2508328 [wandb_init.py:init():956] updated telemetry
2025-06-12 11:42:35,416 INFO    MainThread:2508328 [wandb_init.py:init():980] communicating run to backend with 90.0 second timeout
2025-06-12 11:42:35,945 INFO    MainThread:2508328 [wandb_init.py:init():1032] starting run threads in backend
2025-06-12 11:42:36,218 INFO    MainThread:2508328 [wandb_run.py:_console_start():2453] atexit reg
2025-06-12 11:42:36,218 INFO    MainThread:2508328 [wandb_run.py:_redirect():2301] redirect: wrap_raw
2025-06-12 11:42:36,218 INFO    MainThread:2508328 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-06-12 11:42:36,218 INFO    MainThread:2508328 [wandb_run.py:_redirect():2393] Redirects installed.
2025-06-12 11:42:36,225 INFO    MainThread:2508328 [wandb_init.py:init():1078] run started, returning control to user process
2025-06-12 11:42:36,225 INFO    MainThread:2508328 [wandb_watch.py:_watch():70] Watching
2025-06-12 11:42:38,325 INFO    MsgRouterThr:2508328 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
